id,complaint,category
1,I would like to report that app freezes during checkout Please provide a solution.,Technical Issue
2,I want to report that specifications do not match listing Can you check this for me?,Product Issue
3,service stopped working after an update Can you investigate this?,Technical Issue
4,"Please help, unexpected fee on bill Kindly help me resolve the issue.",Billing & Payment
5,I would like to report that want to change registered email This needs to be fixed.,Account & Login
6,My issue is that product stopped working quickly Kindly help me resolve the issue.,Product Issue
7,I would like to report that product has visible damage Please look into it.,Product Issue
8,I would like to report that want to cancel booking Please resolve this.,Cancellation
9,Could you resolve this: application keeps crashing.,Technical Issue
10,"Please help, item arrived with missing parts I would appreciate your help.",Product Issue
11,Customer support needed: want to know when package will arrive Please look into it.,Delivery
12,Can you help? promised refund has not arrived Can you investigate this?,Refund
13,Can you help? screen is displaying incorrectly I would appreciate your help.,Technical Issue
14,My issue is that cannot upload a file Please provide a solution.,Technical Issue
15,"Please help, have a question about features I would appreciate your help.",General Inquiry
16,I am facing this problem: cannot log in.,Account & Login
17,I need assistance because incorrect billing information Please look into it.,Billing & Payment
18,I want to report that requested refund but have not received it.,Refund
19,My issue is that delivery address was not followed I would appreciate your help.,Delivery
20,I need assistance because received a different product I need assistance with this.,Product Issue
21,I want to report that want to stop recurring subscription Kindly help me resolve the issue.,Cancellation
22,I would like to report that charged a different amount This needs to be fixed.,Billing & Payment
23,Could you resolve this: cannot upload a file Can you check this for me?,Technical Issue
24,I would like to report that screen is displaying incorrectly Please look into it.,Technical Issue
25,I am facing this problem: product arrived damaged.,Product Issue
26,I want to report that need general information before ordering I would appreciate your help.,General Inquiry
27,I need assistance because courier has not contacted me Can you check this for me?,Delivery
28,Could you resolve this: payment deducted but still pending I would appreciate your help.,Billing & Payment
29,I am facing this problem: item arrived broken Can you investigate this?,Product Issue
30,My issue is that charged a different amount This needs to be fixed.,Billing & Payment
31,Can you help? item arrived broken Can you investigate this?,Product Issue
32,I need assistance because product quality is poor This needs to be fixed.,Product Issue
33,I want to report that a feature is not working I would appreciate your help.,Technical Issue
34,My issue is that website is not loading properly Please resolve this.,Technical Issue
35,My issue is that incorrect invoice charge Please provide a solution.,Billing & Payment
36,I am facing this problem: item arrived broken I need assistance with this.,Product Issue
37,Could you resolve this: payment will not go through I need assistance with this.,Billing & Payment
38,I would like to report that refund is missing from bank account I would appreciate your help.,Refund
39,Customer support needed: need information about services.,General Inquiry
40,I would like to report that getting an error message Can you investigate this?,Technical Issue
41,My issue is that verification code is not working Please provide a solution.,Account & Login
42,"Please help, getting an error message Can you investigate this?",Technical Issue
43,Customer support needed: account is locked Please provide a solution.,Account & Login
44,password reset email is not arriving Can you investigate this?,Account & Login
45,I am facing this problem: a feature is not working I would appreciate your help.,Technical Issue
46,I need assistance because application keeps crashing Kindly help me resolve the issue.,Technical Issue
47,"Please help, accidentally placed order and want to cancel I would appreciate your help.",Cancellation
48,Could you resolve this: want to cancel booking This needs to be fixed.,Cancellation
49,I want to report that want to cancel order Kindly help me resolve the issue.,Cancellation
50,Can you help? order has not been delivered Kindly help me resolve the issue.,Delivery
51,I need assistance because delivery marked unsuccessful while I was available Can you investigate this?,Delivery
52,My issue is that service stopped working after an update Can you investigate this?,Technical Issue
53,I would like to report that charged a different amount Please resolve this.,Billing & Payment
54,Can you help? need help cancelling service Please look into it.,Cancellation
55,I am facing this problem: item does not work as described This needs to be fixed.,Product Issue
56,I am facing this problem: product has a defect Can you check this for me?,Product Issue
57,My issue is that product quality is poor Please resolve this.,Product Issue
58,unexpected fee on bill.,Billing & Payment
59,want to find terms and conditions I need assistance with this.,General Inquiry
60,I want to report that wrong amount charged.,Billing & Payment
61,verification code is not working Please provide a solution.,Account & Login
62,Customer support needed: how can I cancel my purchase I need assistance with this.,Cancellation
63,"Please help, service stopped working after an update Can you investigate this?",Technical Issue
64,Customer support needed: a feature is not working Please look into it.,Technical Issue
65,I want to report that requested cancellation but order is still active I need assistance with this.,Cancellation
66,Could you resolve this: cancelled order money was not returned Please provide a solution.,Refund
67,I would like to report that need to cancel before shipping Please provide a solution.,Cancellation
68,Customer support needed: package says delivered but was not received I need assistance with this.,Delivery
69,I need assistance because promised refund has not arrived I need assistance with this.,Refund
70,I am facing this problem: charged twice for the same payment This needs to be fixed.,Billing & Payment
71,"Please help, item arrived broken I need assistance with this.",Product Issue
72,I would like to report that refund was processed for wrong amount Please resolve this.,Refund
73,I want to report that verification code is not working Please provide a solution.,Account & Login
74,I am facing this problem: received only part of the refund Can you investigate this?,Refund
75,Customer support needed: need to cancel before shipping Please provide a solution.,Cancellation
76,I need assistance because want to cancel booking Please resolve this.,Cancellation
77,"Please help, want to know support hours Can you check this for me?",General Inquiry
78,My issue is that received only part of the refund I need assistance with this.,Refund
79,"Please help, password reset email is not arriving Can you investigate this?",Account & Login
80,I want to report that want to know support hours Can you check this for me?,General Inquiry
81,I would like to report that need to cancel before shipping Can you check this for me?,Cancellation
82,I need assistance because page keeps refreshing.,Technical Issue
83,My issue is that forgot password and cannot reset it Please resolve this.,Account & Login
84,I would like to report that need general information before ordering Please look into it.,General Inquiry
85,Can you help? accidentally placed order and want to cancel I would appreciate your help.,Cancellation
86,My issue is that order has not been delivered.,Delivery
87,My issue is that want to know when package will arrive Please look into it.,Delivery
88,I am facing this problem: incorrect billing information Please look into it.,Billing & Payment
89,Customer support needed: want an explanation of service options.,General Inquiry
90,Could you resolve this: need information about services.,General Inquiry
91,Can you help? requested refund but have not received it Kindly help me resolve the issue.,Refund
92,I would like to report that charged twice for the same payment This needs to be fixed.,Billing & Payment
93,I would like to report that want to know support hours Please provide a solution.,General Inquiry
94,"Please help, delivery marked unsuccessful while I was available Can you investigate this?",Delivery
95,I want to report that application keeps crashing.,Technical Issue
96,I want to report that payment deducted but still pending I would appreciate your help.,Billing & Payment
97,Customer support needed: incorrect invoice charge Can you check this for me?,Billing & Payment
98,want more information about the product Please resolve this.,General Inquiry
99,I am facing this problem: want an explanation of service options.,General Inquiry
100,Customer support needed: order has not been delivered Kindly help me resolve the issue.,Delivery
101,Customer support needed: app freezes during checkout Can you check this for me?,Technical Issue
102,Can you help? app freezes during checkout Please provide a solution.,Technical Issue
103,"Please help, incorrect billing information Please look into it.",Billing & Payment
104,need information about my order I need assistance with this.,General Inquiry
105,I am facing this problem: want to know available plans This needs to be fixed.,General Inquiry
106,Could you resolve this: want more information about the product This needs to be fixed.,General Inquiry
107,I am facing this problem: payment failed despite sufficient balance Can you investigate this?,Billing & Payment
108,"Please help, want to stop recurring subscription Kindly help me resolve the issue.",Cancellation
109,My issue is that app freezes during checkout Can you check this for me?,Technical Issue
110,My issue is that specifications do not match listing Can you check this for me?,Product Issue
111,I want to report that need help cancelling service Please look into it.,Cancellation
112,Could you resolve this: delivery marked unsuccessful while I was available I need assistance with this.,Delivery
113,I want to report that incorrect billing information I would appreciate your help.,Billing & Payment
114,I need assistance because charged a different amount This needs to be fixed.,Billing & Payment
115,I want to report that screen is displaying incorrectly Please look into it.,Technical Issue
116,My issue is that cannot access account from a new device I would appreciate your help.,Account & Login
117,I want to report that product has a defect Please provide a solution.,Product Issue
118,Could you resolve this: wrong amount charged.,Billing & Payment
119,"Please help, want to cancel booking Please resolve this.",Cancellation
120,I would like to report that want to know when package will arrive Please look into it.,Delivery
121,Customer support needed: want to know support hours Can you check this for me?,General Inquiry
122,"Please help, product has a defect Can you check this for me?",Product Issue
123,need information about services.,General Inquiry
124,My issue is that incorrect invoice charge Can you check this for me?,Billing & Payment
125,I want to report that cancellation option is not working Can you check this for me?,Cancellation
126,Could you resolve this: a feature is not working Please look into it.,Technical Issue
127,I need assistance because cancelled order money was not returned Can you check this for me?,Refund
128,I want to report that unclear charge on invoice Please provide a solution.,Billing & Payment
129,I am facing this problem: delivery marked unsuccessful while I was available Can you investigate this?,Delivery
130,I am facing this problem: charged twice for the same payment Please resolve this.,Billing & Payment
